,name,id
0,_Almaqah,2865010623
1,_missdv_,256631949
2,17catspaw,560528318
3,20committee,635608354
4,2yrflipper,1135494363390386176
5,4xForecaster,1554889094
6,4xguy,29888058
7,5_min_macro,140804291
8,50Pips,36309263
9,64tetrahedron,188251035
10,77cyko,1279325358
11,AaronMehta,103016675
12,aaronstein1,51837382
13,aawsat_eng,224430095
14,ABartonMacro,355598206
15,abgarman,517777575
16,AcaciaCap,2967158481
17,acrossthecurve,1950476353
18,adamsamson,20704445
19,adamscrabble,198179597
20,AdamSerwer,16326882
21,Adhocoutchea,1088164062
22,Admiral_SPO,38442173
23,adoxen,267317705
24,AFP,380648579
25,ag_trader,73465112
26,agnostoxxx,1889587914
27,agrisource,19715542
28,agurevich23,1576052886
29,AheadoftheNews,56910769
30,aimoneale,52788476
31,AJENews,18424289
32,AJEnglish,4970411
33,AJInsight,163538563
34,AlanDersh,372372537
35,AlanMCole,705060452
36,AlArabiya_Eng,22240612
37,AlbanyfxTrader,34050688
38,albertedwards99,752430905495519232
39,AlbertoNardelli,1002351
40,Alea_,73623921
41,AlenMattich,423411782
42,Alex__Salomon,411803607
43,Alex10050409,813839247564304385
44,alexandrascaggs,80881866
45,AlexFX00,426722004
46,alexstanczyk,16985343
47,AlexUbot,572550519
48,algarvetrader,336871220
49,aliarouzi,715926429
50,aliceemross,270415274
51,alifarhat79,105852422
52,alihashem_tv,14749971
53,AlisonFrankel,339790344
54,aljwhite,24878499
55,allahpundit,19173787
56,AllThatIsSolid,2168616657
57,AllThingsNatSec,212099695
58,alsabogal,160625399
59,AmbDermer,271441733
60,AmbJohnBolton,118756393
61,Amena__Bakr,800970574684160000
62,amital13,2546490246
63,AmyAHarder,39279393
64,anamariecox,11640472
65,anandhsub,47791234
66,AndersFoghR,62442994
67,andersoncooper,15224867
68,andrealeadsom,38281180
69,AndreasSteno,851431642950402048
70,AndrewBeatty,27058591
71,AndrewCMcCarthy,130684893
72,andrewnyquist,302545862
73,AndurandPierre,2546424354
74,AndyHarless,14869061
75,andykessler,146172499
76,anemonanyc,85859613
77,anguswalkertalk,15657533
78,anilvohra69,318666070
79,AnjliRaval,136797962
80,AnjuliDavies,23422045
81,AnnieLowrey,37281592
82,AnthonyCrudele,219434223
83,AOC,138203134
84,AP,51241574
85,APAndrewTaylor,245412130
86,APDiploWriter,2149973089
87,APetimezas,1313489036
88,APompliano,339061487
89,ArashMassoudi,352595592
90,architectrader,2820891862
91,ArchMcClure,632456252
92,AriCostello,19637303
93,aRishisays,283627388
94,ARKInvest,2398137084
95,ArtieCaprio,628379399
96,ArtkoCapital,2610464621
97,AsennaWealth,582390700
98,AshaRangappa_,510464011
99,AshleyHupfl,1129719524
100,AshleyRParker,33919343
101,ASlavitt,1383272101
102,ASLuhn,90275200
103,AssociatedPress,49304503
104,asymmetricinfo,16353245
105,attackerman,15978412
106,Austan_Goolsbee,217284148
107,AustinDamiani,742838600
108,axios,800707492346925056
109,b_judah,217758017
110,BakerLuke,460005853
111,Bank_of_Japan_e,399958787
112,BankofVol,321360865
113,BarackObama,813286
114,BarbarianCap,34939208
115,barnejek,244602804
116,Barton_options,2315950836
117,basisspread,2869285552
118,basso_tom,2308639909
119,bauhiniacapital,3108010537
120,BBCBreaking,5402612
121,BBCDanielS,331658004
122,bbclaurak,61183568
123,bbcnickrobinson,25984418
124,BCAppelbaum,87271106
125,bclund,207617302
126,bellingcat,2315512764
127,Beltrew,31114386
128,Ben_Winkley,870051811
129,benbernanke,51205137
130,bencnn,83590349
131,benedictevans,1236101
132,BenjaminHarvey,19668442
133,BenjaminNorton,852269288
134,benjaminwittes,186667011
135,bennpeifert,272696832
136,BenSasse,1480852568
137,bespokeinvest,28571999
138,bhgreeley,6797952
139,biggercapital,54879118
140,Biggreencandle,1655150102
141,bill_easterly,35810531
142,BillAckman,880412538625810432
143,Birdyword,138141969
144,BIS_org,158289900
145,BisphamGreen,562287040
146,BIUK_Finance,3034842802
147,BloombergTV,35002876
148,BLS_gov,612896910
149,BluegrassCap,2525906341
150,BNODesk,2985479932
151,BNONews,189305014
152,BobBrinker,7822742
153,bobdavis187,232437461
154,BobDollNuveen,1025106169
155,bobivry,153474674
156,boes_,42570063
